type,title,author,year,latitude,longitude,image_name
Escultura,TORRE ROJA,AUGUSTO RAMÍREZ VILLAMIZAR,sin fecha,6.231508,-75.568475,augustoramirezvillamizar_torreroja.png
Escultura,EL SILLETERO,autor desconocido,sin fecha,6.255715, -75.601617,autordesconocido_elsilletero.png
Escultura,HOMENAJE AL TANGO,autor desconocido,sin fecha,6.220219,-75.584827,autordesconocido_homenajealtango.png
Escultura,PLOMADA,autor desconocido,sin fecha,6.265660,-75.574965,autordesconocido_plomada.png
Escultura,TORSO FEMENINO,FERNANDO BOTERO,1990,6.249578,-75.567857,fernandobotero_torsofemenino.png
Escultura,ADÁN,FERNANDO BOTERO,1990,6.252093,-75.567961,fernandobotero_adan.png
Escultura,CABALLO,FERNANDO BOTERO,1992,6.252153,-75.568076,fernandobotero_caballo.png
Escultura,CABALLO CON BRIDAS,FERNANDO BOTERO,1992,6.252020,-75.568203,fernandobotero_caballoconbridas.png
Escultura,CABEZA,FERNANDO BOTERO,1999,6.252024,-75.568274,fernandobotero_cabeza.png
Escultura,ESFINGE,FERNANDO BOTERO,1995,6.252137,-75.568199,fernandobotero_esfinge.png
Escultura,EVA,FERNANDO BOTERO,1990,6.252014,-75.568248,fernandobotero_eva.png
Escultura,GATO,FERNANDO BOTERO,1993,6.252121, -75.568242,fernandobotero_gato.png
Escultura,HOMBRE A CABALLO,FERNANDO BOTERO,1994,6.252010, -75.568255,fernandobotero_hombreacaballo.png
Escultura,HOMBRE CAMINANTE,FERNANDO BOTERO,1999,6.252141,-75.568281,fernandobotero_hombrecaminante.png
Escultura,HOMBRE VESTIDO,FERNANDO BOTERO,1989,6.252024,-75.568336,fernandobotero_hombrevestido.png
Escultura,MANO ,FERNANDO BOTERO,1992,6.252128,-75.568405,fernandobotero_mano.png
Escultura,MATERNIDAD,FERNANDO BOTERO,1995,6.251982,-75.568411,fernandobotero_maternidad.png
Escultura,MUJER,FERNANDO BOTERO,1990,6.251849, -75.568800,fernandobotero_mujer.png
Escultura,MUJER CON ESPEJO,FERNANDO BOTERO,1987,6.252064,-75.568797,fernandobotero_mujerconespejo.png
Escultura,MUJER CON FRUTA,FERNANDO BOTERO,1996,6.252034,-75.568607,fernandobotero_mujerconfruta.png
Escultura,MUJER RECLINADA,FERNANDO BOTERO,1984,6.252148,-75.568483,fernandobotero_mujerreclinada.png
Escultura,MUJER SENTADA,FERNANDO BOTERO,1991,6.251957,-75.568853,fernandobotero_mujersentada.png
Escultura,MUJER VESTIDA,FERNANDO BOTERO,1989,6.251970,-75.567880,fernandobotero_mujervestida.png
Escultura,VENUS DORMIDA,FERNANDO BOTERO,1994,6.252348,-75.568735,fernandobotero_venusdormida.png
Escultura,PENSAMIENTO,FERNANDO BOTERO,1992,6.251891,-75.568385,fernandobotero_pensamiento.png
Escultura,PERRO,FERNANDO BOTERO,1993,6.252033,-75.568070,fernandobotero_perro.png
Escultura,RAPTO DE EUROPA,FERNANDO BOTERO,1991,6.251954,-75.568915,fernandobotero_raptodeeuropa.png
Escultura,SOLDADO ROMANO,FERNANDO BOTERO,1986,6.251921,-75.568738,fernandobotero_soldadoromano.png
Escultura,GLORIETA MINORISTA,autor desconocido,sin fecha,6.257498,-75.571464,autordesconocido_glorietaminorista.png
Escultura,SIGNO HOMENAJE,MANUEL HERNANDEZ,2009,6.270053,-75.565426,manuelhernandez_signohomenaje.png
Escultura,ANDRÉS ESCOBAR,ALEJANDRO HERNANDEZ,2000,6.234812,-75.587658,alejandrohernandez_andresescobar.png
Escultura,LUIS URIBE BUENO,DIEGO CANO,2003,6.244771,-75.584969,diegocano_luisuribebueno.png
Escultura,JOSE MARÍA MARQUEZ BRAVO,JANETH REYES,sin fecha,6.248199,-75.561539,janethreyes_josemariamarquezbravo.png
Escultura,EL FLAUTISTA Y LA BAILARINA,RODRIGO ARENAS BETANCOURT,sin fecha,6.209022,-75.567979,rodrigoarenasbetancourt_elflautistaylabailarina.png
Escultura,HOMENAJE A GUILLERMO Y GILBERTO,SALVADOR ARANGO,sin fecha,6.244699,-75.573160,salvadorarango_homenajeaguillermoygilberto.png
Escultura,HOMENAJE AL PRIMER POBLADO,LUZ MARÍA PIEDRAHITA,sin fecha,6.210223,-75.570824,luzmariapiedrahita_homenajealprimerpoblado.png
Escultura,ANTONIO ROLDAN BETANCUR,SERGIO ARISTIZABAL CASTAÑO,sin fecha,6.222789,-75.569117,no hay imagen
Escultura,EL ARRIERO,OSCAR ROJAS,1975,6.238865,-75.575523,oscarrojas_elarriero.png
Escultura,ORESTE SINDICI,AMAYA - J PEDRO - OTROS,1978,6.248106,-75.559670,amaya_jpedro_otros_orestesindici.png
Escultura,ÁRBOL DE LA VIDA,LEOBARDO PÉREZ JIMÉNEZ,2012,6.247145,-75.557805,leobardoperezjimenez_arboldelavida.png
Escultura,FUENTE PARQUE SAN ANTONIO,LEOBARDO PÉREZ JIMÉNEZ,2012,6.244896,-75.568654,no hay imagen
Escultura,BUSTO ANDRÉS ESCOBAR,CM VÉLEZ,2012,6.234717,-75.587993,cmvelez_bustoandresescobar.png
Escultura,BUSTO GUSTAVO ROJAS PINILLA,CM VÉLEZ,2012,6.254618,-75.569179,cmvelez_bustogustavorojaspinilla.png
Escultura,LA MEDICINA Y LA SALUD,RODRIGO ARENAS BETANCOURT,1997,6.214226,-75.596261,rodrigoarenasbetancourt_lamedicinaylasalud.png
Escultura,HOMENAJE A GIORDANO BRUNO,RODRIGO ARENAS BETANCOURT,1997,6.243727,-75.585666,rodrigoarenasbetancourt_homenajeagiordanobruno.png
Escultura,LA FLAUTISTA EN MEDIA LUNA,RODRIGO ARENAS BETANCOURT,1994,6.209574,-75.497715,rodrigoarenasbetancourt_laflautistaenmedialuna.png
Escultura,SIN TITULO,JOHN CASTLES,1981,6.256099,-75.579255,johncastles_sintitulo.png
Escultura,ACOPLES (Serie Los Amantes),RODRIGO ARENAS BETANCOURT,1981,6.256131,-75.579235,rodrigoarenasbetancourt_acoples.png
Escultura,ESTELAS,HUGO ZAPATA,1987,6.255395,-75.579443,hugozapata_estelas.png
Escultura,FUENTE DE LA VIDA,RODRIGO ARENAS BETANCOURT,1974,6.255412,-75.579453,rodrigoarenasbetancourt_fuentedelavida.png
Escultura,EL AMOR,SALVADOR ARANGO,1972,6.254693,-75.579575,salvadorarango_elamor.png
Escultura,VANOS,JOHN CASTLES,1975,6.255021,-75.579493,johncastles_vanos.png
Escultura,SIMBOLO EMPRESA SURAMERICANA,OCTAVIO MONTOYA,1950,6.254456,-75.579431,octaviomontoya_simboloempresasuramericana.png
Escultura,TRADICION,SALVADOR ARANGO,1972,6.254250,-75.579473,salvadorarango_tradicion.png
Escultura,ZAFRA,JOHN CASTLES,1989,6.254234,-75.579425,johncastles_zafra.png
Escultura,LABERINTO COSMICO,SALVADOR ARANGO,1979,6.254829,-75.579704,salvadorarango_laberintocosmico.png
Escultura,BOSQUE AEREO,RICARDO CARDENAS,2013,6.254408,-75.579843,ricardocardenas_bosqueaereo.png
Escultura,LA LIBERTAD,MIGUEL ANGEL BETANCUR,1988,6.263378,-75.589166,miguelangelbetancur_lalibertad.png
Escultura,JUGADORES DE BOLOS,ISRAEL ROZO GOMEZ,1981,6.258727,-75.584139,israelrozogomez_jugadoresdebolos.png
Escultura,MOVIMIENTO DEL ORDEN,HUMBERTO ELIAS VELEZ ESCOBAR,1987,6.260707,-75.588737,humbertoeliazvelezescobar_movimientodelorden.png
Escultura,COLUMNA,GERMAN BOTERO,1979,6.258520,-75.583324,germanbotero_columna.png
Escultura,RELOJ DE SOL,OCTAVIO URIBE,1986,6.234846,-75.598910,octaviouribe_relojdesol.png
